facility_id,facility_name,facility_type,address,city,state,zip_code,bed_capacity
1,San Antonio General Hospital #1,General Hospital,2169 Health Parkway,San Antonio,TX,78201,246
2,Houston Urgent Care #2,Urgent Care,7048 Health Parkway,Houston,TX,77001,82
3,Houston Diagnostic Center #3,Diagnostic Center,1221 Health Parkway,Houston,TX,77001,467
4,Seattle Urgent Care #4,Urgent Care,9446 Health Parkway,Seattle,WA,98101,306
5,New York General Hospital #5,General Hospital,8826 Health Parkway,New York,NY,10001,202
6,Dallas Specialty Clinic #6,Specialty Clinic,8925 Health Parkway,Dallas,TX,75201,772
7,Los Angeles General Hospital #7,General Hospital,5458 Health Parkway,Los Angeles,CA,90001,259
8,San Jose Specialty Clinic #8,Specialty Clinic,1385 Health Parkway,San Jose,CA,95101,334
9,Los Angeles Diagnostic Center #9,Diagnostic Center,733 Health Parkway,Los Angeles,CA,90001,400
10,Houston Urgent Care #10,Urgent Care,8968 Health Parkway,Houston,TX,77001,186
11,Los Angeles Diagnostic Center #11,Diagnostic Center,4240 Health Parkway,Los Angeles,CA,90001,20
12,Chicago Specialty Clinic #12,Specialty Clinic,4680 Health Parkway,Chicago,IL,60601,756
13,Philadelphia Urgent Care #13,Urgent Care,7011 Health Parkway,Philadelphia,PA,19101,80
14,Dallas Urgent Care #14,Urgent Care,2519 Health Parkway,Dallas,TX,75201,472
15,San Jose Diagnostic Center #15,Diagnostic Center,6036 Health Parkway,San Jose,CA,95101,366
16,San Antonio General Hospital #16,General Hospital,968 Health Parkway,San Antonio,TX,78201,428
17,Seattle Urgent Care #17,Urgent Care,4359 Health Parkway,Seattle,WA,98101,265
18,Houston Diagnostic Center #18,Diagnostic Center,2950 Health Parkway,Houston,TX,77001,141
19,San Diego Specialty Clinic #19,Specialty Clinic,6782 Health Parkway,San Diego,CA,92101,329
20,Jacksonville Urgent Care #20,Urgent Care,9698 Health Parkway,Jacksonville,FL,32201,737
21,Philadelphia Diagnostic Center #21,Diagnostic Center,7642 Health Parkway,Philadelphia,PA,19101,11
22,Jacksonville Specialty Clinic #22,Specialty Clinic,4942 Health Parkway,Jacksonville,FL,32201,309
23,Jacksonville Diagnostic Center #23,Diagnostic Center,9662 Health Parkway,Jacksonville,FL,32201,570
24,Austin Specialty Clinic #24,Specialty Clinic,1933 Health Parkway,Austin,TX,78701,475
25,Boston General Hospital #25,General Hospital,2282 Health Parkway,Boston,MA,02101,561
26,Houston Urgent Care #26,Urgent Care,3105 Health Parkway,Houston,TX,77001,303
27,Austin General Hospital #27,General Hospital,5580 Health Parkway,Austin,TX,78701,129
28,Austin General Hospital #28,General Hospital,8226 Health Parkway,Austin,TX,78701,629
29,Seattle Specialty Clinic #29,Specialty Clinic,5192 Health Parkway,Seattle,WA,98101,495
30,Austin General Hospital #30,General Hospital,5098 Health Parkway,Austin,TX,78701,242
31,Seattle Specialty Clinic #31,Specialty Clinic,9941 Health Parkway,Seattle,WA,98101,441
32,Los Angeles Urgent Care #32,Urgent Care,2699 Health Parkway,Los Angeles,CA,90001,286
33,Denver Urgent Care #33,Urgent Care,7465 Health Parkway,Denver,CO,80201,59
34,San Diego Urgent Care #34,Urgent Care,4353 Health Parkway,San Diego,CA,92101,643
35,Seattle Diagnostic Center #35,Diagnostic Center,9357 Health Parkway,Seattle,WA,98101,182
36,Los Angeles Diagnostic Center #36,Diagnostic Center,1324 Health Parkway,Los Angeles,CA,90001,455
37,Seattle Urgent Care #37,Urgent Care,7039 Health Parkway,Seattle,WA,98101,707
38,Houston General Hospital #38,General Hospital,8060 Health Parkway,Houston,TX,77001,181
39,New York Urgent Care #39,Urgent Care,7735 Health Parkway,New York,NY,10001,573
40,Philadelphia Specialty Clinic #40,Specialty Clinic,9110 Health Parkway,Philadelphia,PA,19101,366
41,Seattle Specialty Clinic #41,Specialty Clinic,7346 Health Parkway,Seattle,WA,98101,259
